series	organ	view	pixel_count	sum	mean	min	max
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_left	AP	458	15320528.0	33450.93359375	29316.107421875	39106.45703125
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_left	PA	458	14801831.0	32318.408203125	23759.529296875	37853.3984375
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_right	AP	439	14755894.0	33612.515625	28799.0390625	43344.61328125
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_right	PA	439	14290994.0	32553.517578125	24897.875	39775.3203125
PET_WB_TRUEX2I14S0MM_AC_0102	liver	AP	1583	67074016.0	42371.45703125	22289.81640625	113663.7421875
PET_WB_TRUEX2I14S0MM_AC_0102	liver	PA	1583	57330852.0	36216.58203125	16910.52734375	68263.8125
PET_WB_TRUEX2I14S0MM_AC_0102	prostate	AP	116	4397286.0	37907.63671875	27178.224609375	60473.890625
PET_WB_TRUEX2I14S0MM_AC_0102	prostate	PA	116	3119514.75	26892.369140625	20601.072265625	36307.578125
PET_WB_TRUEX2I14S0MM_AC_0102	small_bowel	AP	2751	81507960.0	29628.484375	21743.140625	38172.85546875
PET_WB_TRUEX2I14S0MM_AC_0102	small_bowel	PA	2751	69957376.0	25429.798828125	15906.16796875	37853.3984375
PET_WB_TRUEX2I14S0MM_AC_0102	spleen	AP	660	29762396.0	45094.5390625	21974.505859375	150790.5625
PET_WB_TRUEX2I14S0MM_AC_0102	spleen	PA	660	21922850.0	33216.4375	17925.650390625	72186.8984375
